$,58
$$,112
$$$,28
$1,2
$10,22
$100,26
$1000,2
$1020,6
$1020 ,6
$1099,6
$110,9
$1115 ,6
$1140,6
$11400,3
$1149,6
$1150 ,6
$1199,18
$12,5
$1200,8
$1250,2
$12800,3
$13,4
$1300000,3
$1349,18
$1365 ,6
$139,6
$1400,6
$145,2
$149,6
$15,24
$150,21
$1500,5
$1599,12
$168,3
$1758,6
$1800,9
$184,6
$189,6
$1975,6
$199,32
$1999,15
$2,6
$20,11
$200,2
$2000,6
$21,3
$2100,9
$2185,6
$219,6
$220,6
$2200,6
$225,2
$229,14
$2299,6
$2399,6
$249,24
$2499,12
$25,9
$250,11
$2500,29
$250 ,6
$259,6
$26,3
$2600,3
$269,12
$29,3
$2900,4
$299,8
$2999,6
$30,2
$3000,24
$309,12
$3150,11
$319,10
$3199,6
$320 ,6
$329,32
$3300,6
$349,20
$35,31
$350,9
$3500,9
$369,6
$369  ,6
$379,6
$38,12
$3800,12
$39,3
$3900,3
$395,4
$399,31
$40,7
$4000,6
$4100,3
$415,2
$419,8
$4200,3
$429,6
$4300,7
$435,6
$439,6
$449,6
$45,74
$450,2
$4500,9
$46,3
$4600,3
$469,6
$4700,3
$479,18
$48,3
$4800,21
$489,12
$4900,6
$4939,3
$499,14
$5,20
$50,45
$500,2
$5000,3
$50 ,6
$51,3
$519 ,6
$525,6
$529,6
$539,12
$540,6
$5400,3
$5460,6
$549,12
$55,6
$5500,3
$555,6
$560 ,6
$569,6
$5800,6
$589 ,6
$59,3
$595,2
$599,50
$599 ,6
$6,5
$60,3
$600,8
$6000,3
$609,7
$629,18
$649,14
$649 ,6
$6500,6
$659,12
$679,6
$700,3
$719,6
$725,6
$729,12
$729 ,6
$7300,6
$74+PERSON,3
$749,18
$749 ,6
$75,15
$7500,9
$78,3
$79,111
$790,6
$7900,3
$799,8
$79YR,108
$80,3
$8000,3
$809,2
$82179,6
$829,12
$8300,3
$839,6
$85,3
$870,6
$879,6
$8900,6
$899,6
$9000,6
$929,6
$930 ,6
$935,6
$99,17
$9900,12
